Sample_ID,Kin,Mn,Family,Label_day,Control,Tissue_Type,Sample_Mass,EA_Mass,Percent_C,Delta_value,CN_Ratio,Recm_tips,Decm_tips,wetshootwt,wetrootwt,Root_wet_weight_removed,wetneedlewt,wetstemwt,dryneedlewt,drystemwt,dryrootwt,biomass,agbiomass,leafarea,stemlength,rVOL,branches,needles,areaperneedle,ECM Tips,wtpertip,subbranches,GROWTHRATE,dLA,dstemlength,dVOL,Al,B,C_total,Ca,Cu,Fe,K,Mg,Mn,Mo,N,Na,P,S,Zn,Wt_ICP,Health,,,,Recm_tips,Decm_tips
2.2.4.1.0,1,0,2,2,0,Dcoarse,2.482,0.0051,9.94,-10.89450082,24.18,24,371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,4.4.2.1.0,51,130
2.2.5.1.0,1,0,2,1,0,Dcoarse,3.172,0.0051,22.15,11.68297558,26.43,17,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,4.4.3.1.1,18,78
2.2.5.1.1,1,1,2,2,0,Dcoarse,1.742,0.0052,17.35,-16.97911641,28.18,36,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,1.3.1.0.1,11,126
2.3.5.0.0,0,0,3,2,0,Dcoarse,2.022,0.0053,18.63,-25.50995935,30.72,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,1.3.2.0.1,37,528
2.4.1.0.1,0,1,4,2,0,Dcoarse,1.072,0.0053,15.56,-11.27952059,29.28,51,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,1.3.4.0.0,28,214
2.4.3.0.0,0,0,4,1,0,Dcoarse,1.932,0.0051,18.28,-20.40582709,30.29,105,247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,1.3.5.0.0,11,115
3.2.3.0.0,0,0,2,1,0,Dcoarse,1.832,0.0048,21.3,-16.17748848,26.35,7,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,1.4.1.0.1,67,312
3.2.5.0.1,0,1,2,1,0,Dcoarse,2.022,0.005,16.92,-21.69291908,30.62,12,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,2.1.3.0.0,46,201
3.3.1.1.1,1,1,3,2,0,Dcoarse,2.062,0.0052,18.28,-21.309791,26.72,34,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,2.1.4.0.1,41,253
3.3.2.1.0,1,0,3,2,0,Dcoarse,2.222,0.0052,17.62,-25.53381511,30.12,20,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,2.1.5.0.1,19,339
